dep;Somme_detenu_etrangers;Somme_detenu_fr;Somme_Nombre_detenus;perc_theo_etr;perc_theo_fr;eff_theo_etr;eff_theo_fr;chi²_partiel_etr;chi²_partiel_fr;residu_pearson_etr;residu_pearson_fr;taux_etr_det
Ain;112;378;490;0,00243818057630512;0,00673931022279212;130,178118239795;359,821881760205;2,53839882776046;0,918354328879239;-1,59323533345217;0,958308055313759;0,228571428571429
Aisne;56;318;374;0,00186097864395534;0,00514388168025357;99,3604412687413;274,639558731259;18,9222978784359;6,84580136854834;-4,34997676757427;2,61644823540393;0,149732620320856
Allier;54;241;295;0,00146788422451022;0,0040573398280075;78,3725405729376;216,627459427062;7,57944976182907;2,74213036311538;-2,75308005002199;1,65593791040467;0,183050847457627
Alpes-de-Haute-Provence;9;42;51;0,000253769815084818;0,000701438410943669;13,5491510821011;37,4508489178989;1,52738540166697;0,552584952430567;-1,23587434703815;0,743360580358259;0,176470588235294
Alpes-Maritimes;477;871;1348;0,00670748452420265;0,0185399799598444;358,122659973966;989,877340026034;39,4608427534093;14,2763364714397;6,28178658929204;-3,778403958213;0,353857566765579
Ardèche;9;67;76;0,000378166783263651;0,00104528076924939;20,1908918086212;55,8091081913788;6,20260168096149;2,24400753803143;-2,49050229491191;1,4980011809179;0,118421052631579
Ardennes;11;46;57;0,000283625087447738;0,000783960576937042;15,1431688564659;41,8568311435341;1,13357041289674;0,410108641868387;-1,0646926377583;0,640397253170551;0,192982456140351
Ariège;31;112;143;0,000711550657982922;0,00196677828950872;37,9907569556952;105,009243044305;1,28638349771745;0,465394106240552;-1,13418847539439;0,682197996362164;0,216783216783217
Aube;113;357;470;0,00233866300176205;0,00646423633614754;124,864725658579;345,135274341421;1,12739377923474;0,40787402916712;-1,06178801049679;0,638650161799964;0,240425531914894
Aude;22;138;160;0,000796140596344528;0,00220059109315661;42,5071406497289;117,492859350271;9,89346286764281;3,57930532930547;-3,14538755444267;1,89190521150122;0,1375
Aveyron;42;161;203;0,00101010338161212;0,00279199994944245;53,9309346993435;149,069065300656;2,63943511443966;0,954907730271874;-1,6246338401128;0,977193803844393;0,206896551724138
Bas-Rhin;234;528;762;0,00379161959009082;0,0104803150811584;202,440257344334;559,559742655666;4,92005577130706;1,78000181314828;2,21811987306977;-1,33416708591851;0,307086614173228
Bouches-du-Rhône;888;1981;2869;0,0142757960682028;0,0394593490391645;762,206165775451;2106,79383422455;20,7609035972757;7,5109811277465;4,55641345767432;-2,74061692466249;0,309515510630882
Calvados;83,5;548;631,5;0,00314226741619731;0,00868545797080249;167,770370751899;463,729629248101;42,328662414201;15,3138702786297;-6,50604814109157;3,91329404448857;0,132224861441013
Cantal;14;82;96;0,000477684357806717;0,00132035465589397;25,5042843898373;70,4957156101627;5,1892677049583;1,87739862169972;-2,27799642338576;1,37018196663791;0,145833333333333
Charente;40;215;255;0,00126884907542409;0,00350719205471835;67,7457554105054;187,254244589495;11,3634712408892;4,11113214008705;-3,37097482056588;2,0275926958063;0,156862745098039
Charente-Maritime;24;187;211;0,00104991041142935;0,00290202950410028;56,05629173183;154,94370826817;18,3316771025846;6,63212369887039;-4,28155078243674;2,57529099304727;0,113744075829384
Cher;27;155;182;0,000905609928341901;0,00250317236846564;48,3518724890666;133,648127510933;9,42884805324652;3,41121471194621;-3,07064293809074;1,84694740367619;0,148351648351648
Corrèze;15;89;104;0,000517491387623944;0,0014303842105518;27,6296414223238;76,3703585776762;5,77306958198885;2,08860931684957;-2,40272128678897;1,44520217161806;0,144230769230769
Corse-du-Sud;19;72;91;0,000452804964170951;0,00125158618423282;24,1759362445333;66,8240637554667;1,10813975254139;0,400908213327297;-1,05268217071507;0,633173130610654;0,208791208791209
Côte-d'Or;71;227;298;0,00148281186069168;0,00409860091100419;79,1695494601201;218,83045053988;0,843020313194629;0,304992007358613;-0,918161376444593;0,552260814614447;0,238255033557047
Côtes-d'Armor;23;156;179;0,000890682292160441;0,00246191128546896;47,5548636018842;131,445136398116;12,6788572364499;4,58701891168475;-3,56073829934887;2,14173268912924;0,128491620111732
Creuse;2,5;40,5;43;0,000213962785267592;0,000591408856285839;11,4237940496146;31,5762059503854;6,97089775026397;2,5219654433805;-2,64024577459447;1,58806972245569;0,0581395348837209
Deux-Sèvres;14;107;121;0,00060208132598555;0,00166419701419969;32,1460251163575;88,8539748836425;10,2432019614121;3,70583564724795;-3,20050026736636;1,92505471279337;0,115702479338843
Dordogne;29;129;158;0,000786188838890222;0,00217308370449215;41,9758013916073;116,024198608393;4,01115443118382;1,45117504601543;-2,00278666641852;1,2046472703723;0,183544303797468
Doubs;108;379;487;0,00242325294012366;0,00669804913979543;129,381109352612;357,618890647388;3,53337391707204;1,27832127749403;-1,87972708579518;1,1306287089465;0,2217659137577
Drôme;103;382;485;0,00241330118266935;0,00667054175113097;128,849770094491;356,150229905509;5,18596667613764;1,8762043593663;-2,27727176159053;1,3697460930283;0,212371134020619
